source,target,distance 1,time 1,distance 2,time 2
Gate 5,Gate 1,1192.03,14.30436,"1,524.22",18.29064
Gate 5,Men Dorm,160.26,1.92312,160.26,1.92312
Gate 5,Faculty of Art and Design,86.77,1.04124,86.77,1.04124
Gate 5,Faculty of Engineering,242.16,2.90592,242.16,2.90592
Gate 5,Faculty of Food Industry,275.03,3.30036,275.03,3.30036
Gate 5,Faculty of Media,458.51,5.50212,517.76,6.21312
Gate 5,Auditorium 2,510.62,6.12744,478.21,5.73852
Gate 5,Faculty Administrative Science,584.27,7.01124,562.77,6.75324
Gate 5,Food Trucks,378.42,4.54104,366.28,4.39536
Gate 5,Faculty Of Science,539.83,6.47796,512.36,6.14832
Gate 5,Masjid,362.89,4.35468,362.89,4.35468
Gate 5,Faculty Of Pharmacy,698.42,8.38104,861.79,10.34148
Gate 5,Girls Dorm,878.29,10.53948,"1,233",14.796
Gate 5,Uni Hospital,1071.11,12.85332,"1,159.10",13.9092
Gate 5,Faculty Of Nursing,924.49,11.09388,"1,099.97",13.19964
Gate 5,Faculty Of Applied Health,877.63,10.53156,889.58,10.67496
Gate 5,Admission,652.82,7.83384,667.86,8.01432
Gate 5,Faculty Of Physical Therapy,1049.3,12.5916,"1,466.07",17.59284
Gate 5,Faculty Of Dentistry,1203.38,14.44056,"1,325.53",15.90636
Gate 5,Faculty Medicine,1237.93,14.85516,"1,059.23",12.71076
Gate 1,Gate 5,1192.03,14.30436,1524.22,18.29064
Gate 1,Men Dorm,900.57,10.80684,"1,176",14.112
Gate 1,Faculty of Art and Design,1109.91,13.31892,"1,441.36",17.29632
Gate 1,Faculty of Engineering,1242.14,14.90568,"1,332.65",15.9918
Gate 1,Faculty of Food Industry,798.87,9.58644,"1,065.85",12.7902
Gate 1,Faculty of Media,926.3,11.1156,804.82,9.65784
Gate 1,Auditorium 2,868.06,10.41672,743.01,8.91612
Gate 1,Faculty Administrative Science,842.57,10.11084,695.86,8.35032
Gate 1,Food Trucks,958.59,11.50308,845.29,10.14348
Gate 1,Faculty Of Science,931.75,11.181,878.18,10.53816
Gate 1,Masjid,798.87,9.58644,787.72,9.45264
Gate 1,Faculty Of Pharmacy,577.91,6.93492,425.89,5.11068
Gate 1,Girls Dorm,523.6,6.2832,523.6,6.2832
Gate 1,Uni Hospital,106.78,1.28136,106.78,1.28136
Gate 1,Faculty Of Nursing,194.77,2.33724,194.77,2.33724
Gate 1,Faculty Of Applied Health,590.3,7.0836,532.52,6.39024
Gate 1,Admission,741.54,8.89848,661.93,7.94316
Gate 1,Faculty Of Physical Therapy,437.35,5.2482,437.35,5.2482
Gate 1,Faculty Of Dentistry,302.66,3.63192,302.66,3.63192
Gate 1,Faculty Medicine,72.46,0.86952,72.46,0.86952
Faculty of Engineering,Gate 5,242.16,2.90592,242.16,2.90592
Faculty of Engineering,Gate 1,1242.14,14.90568,"1,332.65",15.9918
Faculty of Engineering,Faculty of Media,461.91,5.54292,554.08,6.64896
Faculty of Engineering,Faculty Medicine,1389.47,16.67364,1224.31,14.69172
Faculty of Engineering,Faculty of Art and Design,160.38,1.92456,160.38,1.92456
Faculty of Engineering,Faculty Of Science,338.8,4.0656,695.76,8.34912
Faculty of Engineering,Food Trucks,311.01,3.73212,493.98,5.92776
Faculty of Engineering,Auditorium 2,497.6,5.9712,608.78,7.30536
Faculty of Engineering,Faculty Of Food Industry,472.21,5.66652,414.55,4.9746
Faculty of Engineering,Men Dorm,322.2,3.8664,322.2,3.8664
Faculty of Engineering,Masjid,509.32,6.11184,535.94,6.43128
Faculty of Engineering,Admission,569.09,6.82908,548.21,6.57852
Faculty of Engineering,Faculty Administrative Science,492.5,5.91,661.46,7.93752
Faculty of Engineering,Faculty Of Applied Health,681.28,8.17536,945.68,11.34816
Faculty of Engineering,Faculty Of Physical Therapy,820.27,9.84324,1331.64,15.97968
Faculty of Engineering,Faculty of Dentistry,987.65,11.8518,1382.73,16.59276
Faculty of Engineering,Girls Dorm,1123.85,13.4862,1198.84,14.38608
Faculty of Engineering,Uni Hospital,1058.54,12.70248,1135.66,13.62792
Faculty of Engineering,Faculty Of Pharmacy,795.63,9.54756,1043.84,12.52608
Faculty of Engineering,Faculty Of Nursing,1005.31,12.06372,1085.49,13.02588
Faculty of Media,Men Dorm,315.55,3.7866,315.55,3.7866
Faculty of Media,Faculty of Art and Design,591.44,7.09728,432,5.184
Faculty of Media,Faculty of Engineering,461.91,5.54292,554.08,6.64896
Faculty of Media,Faculty of Food Industry,238.06,2.85672,322.9,3.8748
Faculty of Media,Faculty Medicine,824.55,9.8946,752.74,9.03288
Faculty of Media,Auditorium 2,70.6,0.8472,70.6,0.8472
Faculty of Media,Faculty Administrative Science,104.47,1.25364,104.47,1.25364
Faculty of Media,Food Trucks,147.69,1.77228,109.25,1.311
Faculty of Media,Faculty Of Science,242.86,2.91432,282.5,3.39
